iter	Passed	Remaining
680	968	453
681	968	451
682	969	449
683	969	447
684	970	446
685	970	444
686	971	442
687	971	440
688	972	438
689	972	436
690	973	435
691	973	433
692	974	431
693	980	432
694	981	430
695	981	428
696	982	427
697	982	425
698	983	423
699	984	421
700	985	420
701	985	418
702	986	416
703	987	415
704	988	413
705	988	411
706	989	410
707	990	408
708	990	406
709	991	404
710	992	403
711	993	401
712	994	400
713	995	398
714	996	397
715	997	395
716	999	394
717	1000	392
718	1001	391
719	1001	389
720	1002	387
721	1003	386
722	1004	384
723	1005	383
724	1005	381
725	1006	380
726	1008	378
727	1009	377
728	1009	375
729	1010	373
730	1010	371
731	1011	370
732	1011	368
733	1012	366
734	1013	365
735	1013	363
736	1014	361
737	1014	360
738	1015	358
739	1015	356
740	1016	355
741	1017	353
742	1017	351
743	1018	350
744	1018	348
745	1020	347
746	1021	346
747	1023	344
748	1024	343
749	1024	341
750	1025	340
751	1026	338
752	1027	336
753	1027	335
754	1028	333
755	1028	332
756	1029	330
757	1029	328
758	1030	327
759	1031	325
760	1032	324
761	1033	322
762	1034	321
763	1035	319
764	1036	318
765	1036	316
766	1037	315
767	1038	313
768	1038	311
769	1039	310
770	1039	308
771	1040	307
772	1041	305
773	1042	304
774	1043	302
775	1044	301
776	1044	299
777	1045	298
778	1046	296
779	1047	295
780	1048	293
781	1048	292
782	1049	290
783	1049	289
784	1050	287
785	1051	286
786	1052	284
787	1053	283
788	1053	281
789	1054	280
790	1054	278
791	1055	277
792	1056	275
793	1057	274
794	1058	272
795	1058	271
796	1059	269
797	1059	268
798	1060	266
799	1060	265
800	1061	263
801	1061	262
802	1062	260
803	1063	259
804	1063	257
805	1064	256
806	1064	254
807	1065	253
808	1065	251
809	1066	250
810	1066	248
811	1067	247
812	1067	245
813	1068	244
814	1069	242
815	1069	241
816	1070	239
817	1071	238
818	1072	236
819	1073	235
820	1073	234
821	1074	232
822	1074	231
823	1075	229
824	1075	228
825	1076	226
826	1077	225
827	1077	223
828	1078	222
829	1078	220
830	1080	219
831	1080	218
832	1081	216
833	1082	215
834	1082	213
835	1083	212
836	1083	211
837	1087	210
838	1088	208
839	1088	207
840	1089	205
841	1090	204
842	1091	203
843	1093	202
844	1093	200
845	1096	199
846	1100	198
847	1101	197
848	1101	195
849	1102	194
850	1102	193
851	1103	191
852	1103	190
853	1104	188
854	1104	187
855	1106	186
856	1106	184
857	1107	183
858	1107	181
859	1108	180
860	1108	179
861	1115	178
862	1116	177
863	1117	175
864	1117	174
865	1118	173
866	1118	171
867	1119	170
868	1120	168
869	1121	167
870	1130	167
871	1131	166
872	1133	164
873	1133	163
874	1135	162
875	1136	160
876	1136	159
877	1136	157
878	1137	156
879	1137	155
880	1144	154
881	1147	153
882	1149	152
883	1150	150
884	1150	149
885	1151	148
886	1151	146
887	1152	145
888	1152	143
889	1153	142
890	1160	141
891	1164	140
892	1164	139
893	1165	138
894	1165	136
895	1166	135
896	1167	134
897	1167	132
898	1172	131
899	1172	130
900	1174	129
901	1176	127
902	1178	126
903	1178	125
904	1179	123
905	1179	122
906	1179	120
907	1180	119
908	1181	118
909	1186	117
910	1188	116
911	1188	114
912	1189	113
913	1189	111
914	1192	110
915	1193	109
916	1194	108
917	1195	106
918	1197	105
919	1198	104
920	1199	102
921	1201	101
922	1201	100
923	1202	98
924	1203	97
925	1205	96
926	1205	94
927	1212	94
928	1213	92
929	1217	91
930	1218	90
931	1221	89
932	1222	87
933	1226	86
934	1229	85
935	1230	84
936	1231	82
937	1232	81
938	1232	80
939	1233	78
940	1233	77
941	1235	76
942	1241	75
943	1245	73
944	1245	72
945	1246	71
946	1247	69
947	1247	68
948	1254	67
949	1254	66
950	1255	64
951	1258	63
952	1259	62
953	1261	60
954	1262	59
955	1262	58
956	1263	56
957	1263	55
958	1264	54
959	1265	52
960	1266	51
961	1267	50
962	1269	48
963	1271	47
964	1274	46
965	1275	44
966	1276	43
967	1281	42
968	1282	41
969	1285	39
970	1286	38
971	1286	37
972	1287	35
973	1288	34
974	1289	33
975	1289	31
976	1292	30
977	1293	29
978	1294	27
979	1298	26
980	1300	25
981	1301	23
982	1302	22
983	1304	21
984	1308	19
985	1308	18
986	1309	17
987	1310	15
988	1311	14
989	1312	13
990	1313	11
991	1313	10
992	1314	9
993	1315	7
994	1316	6
995	1317	5
996	1319	3
997	1323	2
998	1324	1
999	1325	0
